0 ms: 1 , has taken a fork
0 ms: 1 , is eating
1 ms: 3 , has taken a fork
1 ms: 3 , is eating
1 ms: 5 , has taken a fork
1 ms: 5 , is eating
1 ms: 7 , has taken a fork
1 ms: 7 , is eating
1 ms: 9 , has taken a fork
1 ms: 9 , is eating
1 ms: 11 , has taken a fork
1 ms: 11 , is eating
1 ms: 13 , has taken a fork
1 ms: 13 , is eating
1 ms: 15 , has taken a fork
1 ms: 15 , is eating
1 ms: 17 , has taken a fork
1 ms: 17 , is eating
1 ms: 19 , has taken a fork
1 ms: 19 , is eating
1 ms: 21 , has taken a fork
1 ms: 21 , is eating
1 ms: 23 , has taken a fork
1 ms: 23 , is eating
1 ms: 25 , has taken a fork
1 ms: 25 , is eating
1 ms: 27 , has taken a fork
1 ms: 27 , is eating
1 ms: 29 , has taken a fork
1 ms: 29 , is eating
1 ms: 31 , has taken a fork
1 ms: 31 , is eating
1 ms: 33 , has taken a fork
1 ms: 33 , is eating
1 ms: 35 , has taken a fork
1 ms: 35 , is eating
1 ms: 37 , has taken a fork
1 ms: 37 , is eating
1 ms: 39 , has taken a fork
1 ms: 39 , is eating
1 ms: 41 , has taken a fork
1 ms: 41 , is eating
1 ms: 43 , has taken a fork
1 ms: 43 , is eating
1 ms: 45 , has taken a fork
1 ms: 45 , is eating
1 ms: 47 , has taken a fork
1 ms: 47 , is eating
1 ms: 49 , has taken a fork
1 ms: 49 , is eating
200 ms: 1 , is sleeping
201 ms: 23 , is sleeping
201 ms: 29 , is sleeping
201 ms: 25 , is sleeping
201 ms: 32 , has taken a fork
201 ms: 33 , is sleeping
201 ms: 21 , is sleeping
201 ms: 38 , has taken a fork
201 ms: 38 , is eating
201 ms: 24 , has taken a fork
201 ms: 24 , is eating
201 ms: 17 , is sleeping
201 ms: 42 , has taken a fork
201 ms: 42 , is eating
201 ms: 49 , is sleeping
201 ms: 44 , has taken a fork
201 ms: 44 , is eating
201 ms: 18 , has taken a fork
201 ms: 18 , is eating
201 ms: 46 , has taken a fork
201 ms: 46 , is eating
201 ms: 48 , has taken a fork
201 ms: 48 , is eating
201 ms: 9 , is sleeping
201 ms: 14 , has taken a fork
201 ms: 14 , is eating
201 ms: 32 , is eating
201 ms: 11 , is sleeping
201 ms: 16 , has taken a fork
201 ms: 16 , is eating
201 ms: 31 , is sleeping
201 ms: 10 , has taken a fork
201 ms: 10 , is eating
201 ms: 41 , is sleeping
201 ms: 8 , has taken a fork
201 ms: 8 , is eating
201 ms: 35 , is sleeping
201 ms: 19 , is sleeping
201 ms: 6 , has taken a fork
201 ms: 6 , is eating
201 ms: 47 , is sleeping
201 ms: 12 , has taken a fork
201 ms: 12 , is eating
201 ms: 30 , has taken a fork
201 ms: 30 , is eating
201 ms: 50 , has taken a fork
201 ms: 50 , is eating
201 ms: 34 , has taken a fork
201 ms: 34 , is eating
201 ms: 27 , is sleeping
201 ms: 2 , has taken a fork
201 ms: 2 , is eating
201 ms: 7 , is sleeping
201 ms: 4 , has taken a fork
201 ms: 4 , is eating
201 ms: 36 , has taken a fork
201 ms: 36 , is eating
201 ms: 22 , has taken a fork
201 ms: 22 , is eating
201 ms: 45 , is sleeping
201 ms: 20 , has taken a fork
201 ms: 20 , is eating
201 ms: 28 , has taken a fork
201 ms: 28 , is eating
201 ms: 15 , is sleeping
201 ms: 43 , is sleeping
201 ms: 13 , is sleeping
201 ms: 39 , is sleeping
201 ms: 3 , is sleeping
201 ms: 37 , is sleeping
201 ms: 5 , is sleeping
201 ms: 40 , has taken a fork
201 ms: 40 , is eating
201 ms: 26 , has taken a fork
201 ms: 26 , is eating
400 ms: 1 , is thinking
401 ms: 18 , is sleeping
401 ms: 46 , is sleeping
401 ms: 6 , is sleeping
401 ms: 30 , is sleeping
401 ms: 42 , is sleeping
401 ms: 48 , is sleeping
401 ms: 47 , is thinking
401 ms: 24 , is sleeping
401 ms: 31 , is thinking
401 ms: 10 , is sleeping
401 ms: 26 , is sleeping
401 ms: 50 , is sleeping
401 ms: 35 , is thinking
